epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,10467.9,0.25888,0.37939,0.92531,0.83156,0.6981,0.79221,0.75272,0.39739,0.71208,0.84534,0.007327,0.007327,0.007327
83,10564.4,0.25766,0.37504,0.92564,0.83763,0.69346,0.79305,0.75371,0.40337,0.71682,0.85317,0.007294,0.007294,0.007294
84,10689.5,0.25515,0.37958,0.92559,0.83068,0.70875,0.7952,0.75408,0.40895,0.72121,0.85971,0.007261,0.007261,0.007261
85,10820.6,0.25336,0.37548,0.92308,0.81972,0.70909,0.79628,0.75467,0.40786,0.71993,0.85841,0.007228,0.007228,0.007228
86,10908.6,0.25454,0.37576,0.92494,0.83338,0.70588,0.79476,0.75377,0.40629,0.7204,0.85733,0.007195,0.007195,0.007195
87,10995.9,0.25216,0.37278,0.92292,0.83033,0.70369,0.79897,0.75762,0.40458,0.72076,0.85502,0.007162,0.007162,0.007162
88,11083.5,0.25235,0.37873,0.92311,0.83606,0.70404,0.80336,0.76229,0.40643,0.72778,0.85683,0.007129,0.007129,0.007129
89,11265.4,0.24527,0.3649,0.91996,0.82588,0.70643,0.80415,0.76278,0.40604,0.73081,0.85644,0.007096,0.007096,0.007096
90,11469.7,0.25,0.36992,0.92241,0.81903,0.70791,0.80524,0.76471,0.40659,0.73481,0.85762,0.007063,0.007063,0.007063
91,11632,0.25097,0.36871,0.92255,0.82334,0.71036,0.80465,0.76319,0.40965,0.74429,0.86275,0.00703,0.00703,0.00703
92,11760.5,0.25237,0.36524,0.92451,0.83122,0.70919,0.80102,0.76,0.41185,0.7423,0.86587,0.006997,0.006997,0.006997
93,11855.1,0.24715,0.36107,0.92155,0.83563,0.70597,0.80275,0.7618,0.41205,0.74134,0.86615,0.006964,0.006964,0.006964
94,11943.1,0.24728,0.36433,0.92237,0.84235,0.70697,0.79828,0.75867,0.41185,0.74402,0.86536,0.006931,0.006931,0.006931
95,12092.9,0.24235,0.35809,0.92109,0.83969,0.70775,0.79781,0.75908,0.41028,0.74411,0.86419,0.006898,0.006898,0.006898
96,12281.3,0.24833,0.36129,0.92388,0.83607,0.71234,0.80214,0.76283,0.4097,0.74509,0.86369,0.006865,0.006865,0.006865
97,12486.7,0.24226,0.35182,0.92014,0.81883,0.71466,0.79346,0.75477,0.40827,0.74448,0.8623,0.006832,0.006832,0.006832
98,12668.1,0.24303,0.35601,0.92085,0.81732,0.71301,0.79182,0.75372,0.40765,0.74991,0.86109,0.006799,0.006799,0.006799
99,12814.7,0.24113,0.3513,0.91764,0.81244,0.71526,0.794,0.75546,0.40799,0.75353,0.86166,0.006766,0.006766,0.006766
100,12917.8,0.2391,0.34954,0.91838,0.81782,0.71531,0.79094,0.75305,0.40737,0.75904,0.86004,0.006733,0.006733,0.006733
101,13104.4,0.23941,0.3523,0.91803,0.83219,0.70895,0.79011,0.75176,0.40749,0.75659,0.86032,0.0067,0.0067,0.0067
102,13545,0.23841,0.34836,0.91664,0.83219,0.70892,0.7852,0.7473,0.40738,0.76041,0.86032,0.006667,0.006667,0.006667
103,13882.3,0.23426,0.34563,0.91783,0.83178,0.7046,0.78309,0.74499,0.40678,0.76433,0.86013,0.006634,0.006634,0.006634
104,14125.6,0.23581,0.34271,0.91526,0.82522,0.70677,0.78036,0.74206,0.40698,0.76473,0.86025,0.006601,0.006601,0.006601
105,14351.3,0.23745,0.35034,0.91774,0.82652,0.70626,0.78272,0.74426,0.40661,0.76544,0.86022,0.006568,0.006568,0.006568
106,14579.2,0.2328,0.34058,0.91336,0.82665,0.70836,0.78114,0.74188,0.40613,0.76424,0.85958,0.006535,0.006535,0.006535
107,14793.3,0.23547,0.3468,0.91816,0.81518,0.71038,0.77901,0.74201,0.40649,0.76125,0.85983,0.006502,0.006502,0.006502
108,15005.8,0.23341,0.33702,0.91653,0.80825,0.71158,0.77643,0.73803,0.40658,0.76163,0.85967,0.006469,0.006469,0.006469
109,15382.8,0.22954,0.34261,0.91662,0.8106,0.71571,0.77824,0.73896,0.40702,0.76234,0.8604,0.006436,0.006436,0.006436
110,15781.2,0.2303,0.3355,0.91273,0.80837,0.71449,0.77418,0.73647,0.40762,0.76328,0.86141,0.006403,0.006403,0.006403
111,18265.3,0.22921,0.34174,0.91379,0.8081,0.71567,0.77378,0.73615,0.40757,0.76156,0.86162,0.00637,0.00637,0.00637
112,34010.4,0.22659,0.33181,0.91401,0.80173,0.71853,0.77466,0.73631,0.40794,0.76328,0.86197,0.006337,0.006337,0.006337
113,34247,0.22548,0.33125,0.91335,0.80115,0.72042,0.77802,0.73974,0.40804,0.76473,0.86197,0.006304,0.006304,0.006304
114,34498.2,0.22574,0.3279,0.91149,0.80217,0.7212,0.7762,0.73851,0.40735,0.76313,0.86159,0.006271,0.006271,0.006271
115,71731.3,0.22734,0.33371,0.91304,0.8044,0.71736,0.7743,0.7364,0.40838,0.76692,0.86274,0.006238,0.006238,0.006238
116,71916,0.22233,0.32783,0.9113,0.80518,0.71513,0.77592,0.73776,0.4086,0.7689,0.86286,0.006205,0.006205,0.006205
117,72102,0.22258,0.32612,0.91236,0.80469,0.71346,0.77834,0.73889,0.40895,0.76832,0.86305,0.006172,0.006172,0.006172
118,72281,0.22501,0.32908,0.91387,0.80175,0.72053,0.7777,0.73724,0.40914,0.7673,0.86323,0.006139,0.006139,0.006139
119,72436.6,0.2223,0.32473,0.91241,0.80498,0.71078,0.77859,0.73828,0.40914,0.76694,0.86323,0.006106,0.006106,0.006106
